corpus: 154 strings; slots pooled over blocks 1..62
slot	class	max	n_distinct(<=40 tracked)	sample
185	binary	1	2	[0, 1]
186	binary	1	2	[0, 1]
187	binary	1	2	[0, 1]
188	binary	1	2	[0, 1]
189	binary	1	2	[0, 1]
190	binary	1	2	[0, 1]
191	binary	1	2	[0, 1]
192	wide	128	40	[32, 35, 36, 37, 39, 44, 47, 53, 57, 58]
193	wide	128	40	[0, 32, 34, 38, 43, 46, 48, 50, 51, 56]
194	wide	128	40	[0, 45, 49, 52, 53, 55, 59, 61, 62, 63]
195	wide	128	40	[0, 33, 35, 36, 40, 42, 43, 44, 46, 48]
196	wide	128	40	[0, 32, 33, 36, 40, 41, 46, 49, 53, 57]
197	wide	128	40	[0, 32, 35, 42, 44, 47, 50, 54, 55, 58]
198	wide	126	40	[0, 33, 35, 39, 40, 41, 42, 43, 44, 46]
199	wide	126	40	[0, 33, 35, 38, 40, 41, 42, 43, 48, 52]
200	wide	128	40	[0, 36, 39, 40, 42, 43, 46, 47, 52, 53]
201	wide	125	40	[0, 34, 35, 37, 38, 41, 45, 46, 47, 49]
202	wide	126	40	[0, 33, 38, 40, 42, 47, 49, 55, 57, 58]
203	wide	128	40	[0, 35, 36, 38, 43, 49, 53, 55, 58, 59]
204	wide	125	40	[0, 35, 37, 39, 40, 43, 46, 47, 49, 57]
205	wide	128	40	[0, 33, 35, 36, 39, 42, 43, 44, 47, 49]
206	wide	128	40	[0, 34, 35, 38, 41, 42, 52, 54, 58, 59]
207	wide	128	40	[0, 34, 35, 37, 39, 40, 42, 45, 51, 53]
208	wide	128	38	[0, 37, 39, 40, 41, 47, 50, 53, 54, 59]
209	wide	128	40	[0, 38, 39, 40, 42, 46, 49, 56, 58, 59]
210	wide	128	40	[0, 32, 35, 39, 40, 53, 54, 57, 58, 60]
211	wide	128	40	[0, 32, 33, 35, 42, 45, 53, 54, 55, 58]
212	wide	121	33	[0, 38, 44, 48, 55, 65, 75, 80, 83, 85]
213	wide	128	40	[0, 32, 38, 39, 40, 42, 56, 59, 68, 69]
214	wide	128	36	[0, 38, 45, 46, 47, 55, 59, 74, 75, 77]
215	wide	128	35	[0, 32, 41, 44, 51, 53, 56, 59, 61, 65]
216	wide	123	35	[0, 32, 37, 43, 45, 48, 49, 55, 61, 65]
217	wide	128	33	[0, 32, 34, 35, 36, 38, 47, 55, 61, 66]
218	wide	123	34	[0, 33, 42, 46, 47, 56, 60, 67, 72, 74]
219	wide	122	36	[0, 35, 37, 39, 45, 53, 59, 60, 62, 71]
220	wide	126	30	[0, 32, 34, 36, 39, 46, 51, 52, 53, 59]
221	wide	122	32	[0, 37, 42, 50, 52, 54, 59, 66, 71, 75]
222	wide	121	36	[0, 36, 37, 41, 42, 43, 51, 52, 61, 62]
223	wide	128	36	[0, 33, 34, 37, 38, 43, 46, 47, 51, 58]
224	wide	123	32	[0, 33, 46, 47, 51, 54, 68, 72, 77, 85]
225	wide	128	36	[0, 35, 41, 43, 47, 50, 51, 63, 67, 72]
226	wide	128	25	[0, 42, 43, 54, 67, 73, 86, 93, 97, 99]
227	wide	128	24	[0, 43, 61, 71, 73, 75, 76, 81, 93, 97]
228	wide	122	20	[0, 43, 57, 65, 70, 82, 83, 85, 87, 94]
229	wide	128	19	[0, 38, 42, 71, 77, 94, 95, 96, 97, 98]
230	wide	118	16	[0, 54, 56, 63, 67, 72, 97, 98, 99, 105]
231	wide	128	20	[0, 33, 34, 39, 45, 49, 58, 59, 73, 84]
232	wide	128	20	[0, 37, 40, 44, 63, 66, 68, 85, 93, 97]
233	wide	118	19	[0, 39, 40, 49, 52, 62, 69, 71, 73, 75]
234	wide	128	19	[0, 47, 48, 58, 65, 75, 86, 96, 97, 99]
235	wide	125	19	[0, 34, 36, 42, 43, 51, 65, 75, 94, 97]
236	wide	128	18	[0, 51, 58, 62, 66, 78, 79, 85, 97, 98]
237	wide	118	17	[0, 42, 43, 66, 68, 70, 73, 78, 84, 86]
238	wide	122	16	[0, 39, 40, 41, 47, 53, 64, 94, 97, 98]
239	wide	120	19	[0, 42, 58, 61, 62, 74, 82, 93, 97, 100]
240	wide	128	18	[0, 38, 43, 44, 68, 70, 78, 84, 87, 91]
241	wide	128	14	[0, 37, 42, 53, 63, 71, 84, 97, 99, 104]
242	wide	107	16	[0, 34, 51, 54, 55, 56, 59, 60, 65, 92]
243	wide	122	16	[0, 42, 64, 65, 67, 70, 75, 80, 82, 83]
