NOT identity: 248 failures
  (1, 0, 200, 'col', 5)
  (1, 0, 201, 'col', 5)
  (1, 0, 202, 'col', 5)
  (1, 0, 203, 'col', 5)
  (2, 0, 204, 'col', 5)
  (2, 0, 205, 'col', 5)
  (2, 0, 206, 'col', 5)
  (2, 0, 207, 'col', 5)
  (3, 0, 208, 'col', 5)
  (3, 0, 209, 'col', 5)
  (3, 0, 210, 'col', 5)
  (3, 0, 211, 'col', 5)
  (4, 0, 212, 'col', 5)
  (4, 0, 213, 'col', 5)
  (4, 0, 214, 'col', 5)
  (4, 0, 215, 'col', 5)
  (5, 0, 216, 'col', 5)
  (5, 0, 217, 'col', 5)
  (5, 0, 218, 'col', 5)
  (5, 0, 219, 'col', 5)
  (6, 0, 220, 'col', 5)
  (6, 0, 221, 'col', 5)
  (6, 0, 222, 'col', 5)
  (6, 0, 223, 'col', 5)
  (7, 0, 224, 'col', 5)
  (7, 0, 225, 'col', 5)
  (7, 0, 226, 'col', 5)
  (7, 0, 227, 'col', 5)
  (8, 0, 228, 'col', 5)
  (8, 0, 229, 'col', 5)
  (8, 0, 230, 'col', 5)
  (8, 0, 231, 'col', 5)
  (9, 0, 232, 'col', 5)
  (9, 0, 233, 'col', 5)
  (9, 0, 234, 'col', 5)
  (9, 0, 235, 'col', 5)
  (10, 0, 236, 'col', 5)
  (10, 0, 237, 'col', 5)
  (10, 0, 238, 'col', 5)
  (10, 0, 239, 'col', 5)
  (11, 0, 240, 'col', 5)
  (11, 0, 241, 'col', 5)
  (11, 0, 242, 'col', 5)
  (11, 0, 243, 'col', 5)
  (12, 0, 244, 'col', 5)
  (12, 0, 245, 'col', 5)
  (12, 0, 246, 'col', 5)
  (12, 0, 247, 'col', 5)
  (13, 0, 248, 'col', 5)
  (13, 0, 249, 'col', 5)
  (13, 0, 250, 'col', 5)
  (13, 0, 251, 'col', 5)
  (14, 0, 252, 'col', 5)
  (14, 0, 253, 'col', 5)
  (14, 0, 254, 'col', 5)
  (14, 0, 255, 'col', 5)
  (15, 0, 196, 'col', 5)
  (15, 0, 197, 'col', 5)
  (15, 0, 198, 'col', 5)
  (15, 0, 199, 'col', 5)
  (16, 0, 216, 'col', 5)
  (16, 0, 217, 'col', 5)
  (16, 0, 218, 'col', 5)
  (16, 0, 219, 'col', 5)
  (17, 0, 236, 'col', 5)
  (17, 0, 237, 'col', 5)
  (17, 0, 238, 'col', 5)
  (17, 0, 239, 'col', 5)
  (18, 0, 192, 'col', 5)
  (18, 0, 193, 'col', 5)
  (18, 0, 194, 'col', 5)
  (18, 0, 195, 'col', 5)
  (19, 0, 212, 'col', 5)
  (19, 0, 213, 'col', 5)
  (19, 0, 214, 'col', 5)
  (19, 0, 215, 'col', 5)
  (20, 0, 232, 'col', 5)
  (20, 0, 233, 'col', 5)
  (20, 0, 234, 'col', 5)
  (20, 0, 235, 'col', 5)
